,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles , BMI ,Total expenditure, HIV/AIDS, thinness  1-19 years,Income composition of resources,Immunization Coverage,Schooling
33,2014,Developing,75.4,11.0,21,0.01,54.2373183,0,58.4,7.21,0.1,6.0,0.741,High Polio & High Diphtheria,14.4
34,2013,Developing,75.3,112.0,21,0.53,544.4507432,25,57.2,7.12,0.1,5.9,0.737,High Polio & High Diphtheria,14.4
35,2012,Developing,75.1,113.0,21,0.66,555.9260833999999,18,56.1,6.14,0.1,5.9,0.732,High Polio & High Diphtheria,14.4
36,2011,Developing,74.9,116.0,21,0.56,509.0020405,112,55.0,5.29,0.1,5.9,0.7240000000000001,High Polio & High Diphtheria,14.0
37,2010,Developing,74.7,119.0,21,0.45,430.71758610000006,103,53.9,5.12,0.1,5.9,0.7140000000000001,High Polio & High Diphtheria,13.6
38,2009,Developing,74.4,123.0,20,0.5,352.0636419,107,52.8,5.36,0.1,6.0,0.705,High Polio & High Diphtheria,13.1
39,2008,Developing,74.1,126.0,20,0.46,43.08717334,217,51.8,4.2,0.1,6.0,0.6970000000000001,High Polio & High Diphtheria,12.6
40,2007,Developing,73.8,129.0,20,0.44,320.32392410000006,0,5.8,3.82,0.1,6.0,0.69,High Polio & High Diphtheria,12.3
41,2006,Developing,73.4,132.0,20,0.36,270.24019619999996,944,49.8,3.36,0.1,6.1,0.6859999999999999,High Polio & High Diphtheria,12.3
42,2005,Developing,72.9,136.0,19,0.5,2.5489227580000002,2302,48.9,3.24,0.1,6.1,0.68,High Polio & High Diphtheria,12.0
43,2004,Developing,72.3,14.0,19,0.45,220.39369900000003,3289,47.9,3.54,0.1,6.2,0.6729999999999999,High Polio & High Diphtheria,11.7
44,2003,Developing,71.7,146.0,20,0.34,25.0185226,15374,47.0,3.6,0.1,6.3,0.6629999999999999,High Polio & High Diphtheria,11.5
45,2002,Developing,71.6,145.0,20,0.36,148.51198430000002,5862,46.1,3.73,0.1,6.3,0.653,High Polio & High Diphtheria,11.1
46,2001,Developing,71.4,145.0,20,0.23,147.98607140000001,2686,45.3,3.84,0.1,6.4,0.644,High Polio & High Diphtheria,10.9
47,2000,Developing,71.3,145.0,21,0.25,154.4559436,0,44.4,3.49,0.1,6.5,0.636,High Polio & High Diphtheria,10.7
49,2014,Developing,51.7,348.0,67,8.33,23.965612,11699,22.7,3.31,2.0,8.5,0.527,High Polio & High Diphtheria,11.4
50,2013,Developing,51.1,355.0,69,8.1,35.95857279,8523,22.1,4.26,2.3,8.6,0.523,High Polio & High Diphtheria,11.4
51,2012,Developing,56.0,358.0,72,8.24,256.1225243,4458,21.5,3.3,2.6,8.8,0.508,High Polio & High Diphtheria,10.3
52,2011,Developing,51.0,361.0,75,8.06,239.89139210000002,1449,21.0,3.38,2.5,8.9,0.495,High Polio & High Diphtheria,9.4
53,2010,Developing,49.6,365.0,78,7.8,191.6537407,1190,2.4,3.39,2.5,9.1,0.488,High Polio & High Diphtheria,9.0
54,2009,Developing,49.1,369.0,81,7.01,212.92293250000003,2807,19.8,4.37,2.5,9.3,0.48,High Polio &  Low Diphtheria,8.5
55,2008,Developing,48.7,371.0,84,7.07,249.9101958,265,19.3,3.84,2.6,9.5,0.46799999999999997,High Polio & High Diphtheria,8.1
56,2007,Developing,48.2,375.0,87,6.35,184.8213446,1014,18.8,3.38,2.6,9.6,0.45399999999999996,High Polio & High Diphtheria,7.7
57,2006,Developing,47.7,381.0,90,5.84,25.08688824,765,18.2,4.54,2.5,9.8,0.439,Low Polio &  Low Diphtheria,7.2
58,2005,Developing,47.4,382.0,92,5.04,98.19145117,258,17.7,4.1,2.6,1.0,0.426,Low Polio &  Low Diphtheria,6.8
59,2004,Developing,47.1,386.0,94,3.53,8.8667775,29,17.2,4.71,2.5,1.2,0.415,Low Polio &  Low Diphtheria,6.4
60,2003,Developing,46.8,388.0,95,3.49,35.93349121,1196,16.8,4.41,2.4,1.4,0.406,Low Polio &  Low Diphtheria,5.9
61,2002,Developing,46.5,391.0,96,2.82,24.037942,11945,16.3,3.63,2.3,1.5,0.401,Low Polio &  Low Diphtheria,5.5
62,2001,Developing,45.7,44.0,97,2.58,30.35993647,9046,15.8,5.38,2.1,1.7,0.391,Low Polio &  Low Diphtheria,5.1
63,2000,Developing,45.3,48.0,97,1.85,15.88149254,2219,15.4,2.79,2.0,1.9,0.382,Low Polio &  Low Diphtheria,4.6
65,2014,Developing,76.2,131.0,0,8.56,2422.999774,0,47.0,5.54,0.2,3.3,0.782,High Polio & High Diphtheria,13.9
66,2013,Developing,76.1,133.0,0,8.58,1991.4303719999998,0,46.4,5.33,0.2,3.3,0.7809999999999999,High Polio & High Diphtheria,13.9
67,2012,Developing,75.9,134.0,0,8.18,2156.229842,0,45.7,5.39,0.2,3.3,0.778,High Polio & High Diphtheria,13.8
68,2011,Developing,75.7,136.0,0,7.84,1810.875316,0,45.1,5.65,0.1,3.3,0.782,High Polio & High Diphtheria,14.1
69,2010,Developing,75.6,138.0,0,7.84,1983.9569370000002,0,44.4,5.63,0.1,3.3,0.7829999999999999,High Polio & High Diphtheria,14.1
70,2009,Developing,75.4,14.0,0,7.82,149.3587355,0,43.8,4.86,0.1,3.4,0.7879999999999999,High Polio & High Diphtheria,14.2
71,2008,Developing,75.2,142.0,0,8.27,180.7762695,0,43.2,4.69,0.1,3.4,0.7859999999999999,High Polio & High Diphtheria,14.4
72,2007,Developing,75.0,144.0,0,8.64,257.96653080000004,0,42.6,4.27,0.1,3.4,0.7809999999999999,High Polio & High Diphtheria,14.5
73,2006,Developing,74.8,145.0,0,8.93,216.3146941,0,42.0,4.34,0.1,3.4,0.773,High Polio & High Diphtheria,14.7
74,2005,Developing,74.6,147.0,0,8.15,1455.608186,0,41.4,4.41,0.1,3.5,0.0,High Polio & High Diphtheria,0.0
75,2004,Developing,74.4,149.0,0,7.28,22.86295206,0,4.8,4.21,0.1,3.5,0.0,High Polio & High Diphtheria,0.0
76,2003,Developing,74.2,151.0,0,7.16,1158.065259,0,4.1,4.53,0.1,3.5,0.0,High Polio & High Diphtheria,0.0
77,2002,Developing,74.0,153.0,0,7.21,927.4075855000001,0,39.5,4.41,0.1,3.6,0.0,High Polio & High Diphtheria,0.0
78,2001,Developing,73.8,154.0,0,7.51,163.7676978,0,38.9,4.48,0.1,3.6,0.0,High Polio & High Diphtheria,0.0
79,2000,Developing,73.6,156.0,0,7.27,1127.74347,0,38.2,4.13,0.1,3.7,0.0,High Polio & High Diphtheria,0.0
81,2014,Developing,76.2,118.0,8,7.93,847.3717462999999,1,62.2,4.79,0.1,1.0,0.825,High Polio & High Diphtheria,17.3
82,2013,Developing,76.0,119.0,8,8.28,1001.796332,0,61.6,4.99,0.1,1.0,0.823,High Polio & High Diphtheria,17.3
83,2012,Developing,75.9,12.0,9,8.35,1133.5580029999999,2,61.0,5.2,0.1,1.0,0.8220000000000001,High Polio & High Diphtheria,17.2
84,2011,Developing,75.7,12.0,9,8.11,1504.329462,3,6.4,5.89,0.1,1.0,0.816,High Polio & High Diphtheria,17.1
85,2010,Developing,75.5,121.0,10,8.15,187.61095500000002,17,59.8,6.55,0.1,1.0,0.802,High Polio & High Diphtheria,16.8
86,2009,Developing,75.6,126.0,10,8.33,1398.042623,3,59.2,7.63,0.1,1.0,0.794,High Polio & High Diphtheria,16.5
87,2008,Developing,75.4,126.0,10,8.41,1413.7354300000002,0,58.6,6.66,0.1,1.0,0.792,High Polio & High Diphtheria,16.3
88,2007,Developing,74.8,129.0,10,8.16,1105.6590310000001,0,58.0,6.49,0.1,1.1,0.7879999999999999,High Polio & High Diphtheria,16.3
89,2006,Developing,75.2,127.0,11,7.75,961.1774676000001,0,57.5,6.68,0.1,1.1,0.782,High Polio & High Diphtheria,16.1
90,2005,Developing,74.9,127.0,11,7.53,96.16653429,0,56.9,6.85,0.1,1.1,0.78,High Polio & High Diphtheria,16.3
91,2004,Developing,74.7,13.0,11,7.63,719.3663797,0,56.3,6.84,0.1,1.1,0.775,High Polio & High Diphtheria,16.3
92,2003,Developing,74.1,137.0,11,7.62,57.58467352,0,55.7,8.22,0.1,1.2,0.77,High Polio & High Diphtheria,16.4
93,2002,Developing,74.1,138.0,12,7.81,470.18691449999994,0,55.1,8.31,0.1,1.2,0.7759999999999999,High Polio & High Diphtheria,16.3
94,2001,Developing,74.0,138.0,12,7.76,123.01286709999998,0,54.6,9.38,0.1,1.2,0.7709999999999999,High Polio & High Diphtheria,15.6
95,2000,Developing,74.1,137.0,12,7.68,1349.025282,6,54.0,9.21,0.1,1.2,0.764,High Polio & High Diphtheria,15.0
97,2014,Developing,74.6,12.0,1,3.91,295.60871430000003,13,54.1,4.48,0.1,2.1,0.7390000000000001,High Polio & High Diphtheria,12.7
98,2013,Developing,74.4,123.0,1,3.79,279.4290812,10,53.3,4.55,0.1,2.1,0.736,High Polio & High Diphtheria,12.7
99,2012,Developing,74.4,121.0,1,3.89,274.1526986,0,52.6,4.48,0.1,2.0,0.732,High Polio & High Diphtheria,12.7
100,2011,Developing,73.9,128.0,1,4.09,260.9963826,0,51.9,3.71,0.1,2.0,0.7290000000000001,High Polio & High Diphtheria,12.7
101,2010,Developing,73.5,132.0,1,4.23,224.3212014,2,51.2,4.56,0.1,2.0,0.72,High Polio & High Diphtheria,12.3
102,2009,Developing,73.3,137.0,1,3.96,201.18554609999998,0,5.7,4.55,0.1,2.0,0.725,High Polio & High Diphtheria,11.9
103,2008,Developing,73.2,14.0,1,3.96,2.8888979,0,5.1,3.8,0.1,2.0,0.721,High Polio & High Diphtheria,12.3
104,2007,Developing,73.5,132.0,1,3.99,44.57219966,1,49.7,4.31,0.1,2.0,0.7070000000000001,Low Polio & High Diphtheria,11.7
105,2006,Developing,72.9,141.0,1,4.01,244.5352767,137,49.2,4.58,0.1,2.0,0.6920000000000001,High Polio & High Diphtheria,11.2
106,2005,Developing,73.0,137.0,1,4.25,20.21822828,2281,48.8,5.25,0.1,2.0,0.679,High Polio &  Low Diphtheria,10.9
107,2004,Developing,73.0,132.0,1,3.81,97.74087744,1783,48.4,5.5,0.1,2.0,0.6679999999999999,High Polio & High Diphtheria,10.9
108,2003,Developing,72.7,134.0,1,3.03,7.341493148,4,48.1,5.56,0.1,2.0,0.657,High Polio & High Diphtheria,10.8
109,2002,Developing,72.6,134.0,1,2.86,57.17810403,40,47.8,5.4,0.1,2.1,0.645,High Polio & High Diphtheria,10.8
110,2001,Developing,72.6,141.0,1,2.86,53.19373012,69,47.4,5.94,0.1,2.1,0.644,High Polio & High Diphtheria,11.1
111,2000,Developing,72.0,142.0,1,2.9,32.75626853,15,47.1,6.25,0.1,2.1,0.639,High Polio & High Diphtheria,11.2
113,2014,Developed,82.7,6.0,1,9.71,10769.36305,340,66.1,9.42,0.1,0.6,0.9359999999999999,High Polio & High Diphtheria,20.4
114,2013,Developed,82.5,61.0,1,9.87,11734.853809999999,158,65.5,9.36,0.1,0.6,0.9329999999999999,High Polio & High Diphtheria,20.3
115,2012,Developed,82.3,61.0,1,10.03,11714.99858,199,65.0,9.36,0.1,0.6,0.93,High Polio & High Diphtheria,20.1
116,2011,Developed,82.0,63.0,1,10.3,10986.26527,190,64.4,9.2,0.1,0.6,0.927,High Polio & High Diphtheria,19.8
117,2010,Developed,81.9,64.0,1,10.52,8875.786493000001,70,63.9,9.2,0.1,0.7,0.927,High Polio & High Diphtheria,19.5
118,2009,Developed,81.7,66.0,1,10.62,7172.275229000001,104,63.4,9.5,0.1,0.7,0.925,High Polio & High Diphtheria,19.1
119,2008,Developed,81.3,66.0,1,10.76,8547.292356999998,65,62.9,8.78,0.1,0.7,0.9209999999999999,High Polio & High Diphtheria,19.1
120,2007,Developed,81.3,66.0,1,10.56,872.5986092,11,62.5,8.53,0.1,0.7,0.9179999999999999,High Polio & High Diphtheria,19.0
121,2006,Developed,81.2,66.0,1,10.31,6187.062017,0,62.0,8.49,0.1,0.7,0.915,High Polio & High Diphtheria,20.3
122,2005,Developed,81.0,67.0,1,10.3,579.1331637,10,61.5,8.45,0.1,0.7,0.91,High Polio & High Diphtheria,20.3
123,2004,Developed,86.0,69.0,1,9.84,588.568371,70,6.9,8.57,0.1,0.7,0.9079999999999999,High Polio & High Diphtheria,20.7
124,2003,Developed,83.0,71.0,1,9.97,3829.550928,91,6.3,8.32,0.1,0.7,0.905,High Polio & High Diphtheria,20.6
125,2002,Developed,79.9,73.0,1,9.84,46.387181899999995,32,59.6,8.39,0.1,0.7,0.902,High Polio & High Diphtheria,20.1
126,2001,Developed,79.9,75.0,1,9.53,3064.301144,141,59.0,8.18,0.1,0.7,0.899,High Polio & High Diphtheria,20.5
127,2000,Developed,79.5,78.0,1,10.17,347.18736,108,58.2,8.8,0.1,0.7,0.897,Low Polio &  Low Diphtheria,20.4
129,2014,Developed,81.4,66.0,0,12.32,8350.193523,117,57.1,11.21,0.1,1.8,0.892,High Polio & High Diphtheria,15.9
130,2013,Developed,81.1,68.0,0,11.82,90.58501176,0,56.6,11.14,0.1,1.8,0.887,High Polio & High Diphtheria,15.7
131,2012,Developed,88.0,7.0,0,12.26,7878.3723549999995,36,56.1,11.17,0.1,1.8,0.884,High Polio & High Diphtheria,15.7
132,2011,Developed,88.0,73.0,0,12.04,8272.306756999998,68,55.7,1.94,0.1,1.7,0.88,High Polio & High Diphtheria,15.7
133,2010,Developed,84.0,75.0,0,12.1,7423.228773999999,52,55.2,11.17,0.1,1.7,0.872,High Polio & High Diphtheria,15.4
134,2009,Developed,82.0,77.0,0,11.3,8053.557637999999,49,54.7,11.19,0.1,1.7,0.87,High Polio & High Diphtheria,15.3
135,2008,Developed,84.0,76.0,0,12.0,8329.731655,448,54.2,1.6,0.1,1.7,0.8640000000000001,High Polio & High Diphtheria,15.1
136,2007,Developed,81.0,8.0,0,12.5,7453.8644,20,53.7,1.4,0.1,1.7,0.86,High Polio & High Diphtheria,15.2
137,2006,Developed,79.8,81.0,0,12.4,69.92899358,23,53.2,1.35,0.1,1.7,0.8540000000000001,High Polio & High Diphtheria,15.0
138,2005,Developed,79.4,85.0,0,12.4,5992.588029,9,52.7,1.53,0.1,1.7,0.848,High Polio & High Diphtheria,14.9
139,2004,Developed,79.3,86.0,0,12.1,5316.877456,15,52.2,1.56,0.1,1.7,0.841,High Polio & High Diphtheria,14.7
140,2003,Developed,78.8,88.0,0,12.2,504.4308735,90,51.7,1.48,0.1,1.7,0.8370000000000001,High Polio & High Diphtheria,14.7
141,2002,Developed,78.7,9.0,0,12.5,3979.057728,0,51.2,1.27,0.1,1.7,0.847,High Polio & High Diphtheria,16.1
142,2001,Developed,78.6,92.0,0,12.4,3582.8483079999996,0,5.6,1.12,0.1,1.7,0.8370000000000001,High Polio & High Diphtheria,15.5
143,2000,Developed,78.1,96.0,0,13.2,3557.455507,0,5.1,1.6,0.1,1.7,0.833,High Polio & High Diphtheria,15.4
145,2014,Developing,72.5,119.0,5,0.01,306.1824313,0,51.5,6.4,0.1,2.8,0.752,High Polio & High Diphtheria,12.2
146,2013,Developing,72.2,121.0,5,2.14,275.6514934,164,5.6,5.54,0.1,2.8,0.745,High Polio & High Diphtheria,11.9
147,2012,Developing,71.9,123.0,5,0.01,285.6103912,0,49.7,5.37,0.1,2.8,0.742,High Polio & High Diphtheria,11.8
148,2011,Developing,71.6,125.0,5,1.98,263.14269900000005,0,48.8,5.1,0.1,2.8,0.741,High Polio & High Diphtheria,11.7
149,2010,Developing,71.1,13.0,5,1.98,246.56860079999998,0,48.0,5.33,0.1,2.8,0.737,High Polio & High Diphtheria,11.7
150,2009,Developing,78.0,132.0,6,2.1,22.48638351,0,47.3,5.85,0.1,2.8,0.728,High Polio & High Diphtheria,11.6
151,2008,Developing,73.0,141.0,6,1.18,206.26161340000002,5,46.6,4.37,0.1,2.8,0.7190000000000001,High Polio & High Diphtheria,11.6
152,2007,Developing,73.0,14.0,6,1.02,176.01071059999998,0,45.9,5.1,0.1,2.8,0.708,High Polio & High Diphtheria,11.6
153,2006,Developing,69.2,154.0,6,0.85,105.6337264,222,45.3,6.17,0.1,2.9,0.682,Low Polio & High Diphtheria,10.7
154,2005,Developing,68.4,162.0,6,0.73,81.28883085,1238,44.7,7.86,0.1,2.9,0.675,High Polio & High Diphtheria,11.2
155,2004,Developing,68.4,154.0,6,0.62,8.59680496,827,44.2,7.92,0.1,3.0,0.6679999999999999,High Polio & High Diphtheria,11.0
156,2003,Developing,67.8,154.0,7,0.55,42.41491183,1978,43.6,6.56,0.1,3.0,0.659,High Polio & High Diphtheria,10.8
157,2002,Developing,67.8,146.0,7,0.55,39.33253687,4353,43.1,4.47,0.1,3.1,0.6509999999999999,Low Polio & High Diphtheria,10.6
158,2001,Developing,67.5,151.0,8,0.51,4.104190077,574,42.6,4.48,0.1,3.1,0.642,High Polio & High Diphtheria,10.4
159,2000,Developing,66.6,16.0,9,0.65,35.09462644,210,42.1,4.67,0.1,3.2,0.636,High Polio & High Diphtheria,10.1
161,2014,Developing,75.4,16.0,0,9.45,0.0,0,63.8,7.74,0.1,2.5,0.789,High Polio & High Diphtheria,12.6
162,2013,Developing,74.8,172.0,0,9.42,0.0,0,63.2,7.5,0.1,2.5,0.79,High Polio & High Diphtheria,12.6
163,2012,Developing,74.9,167.0,0,9.5,0.0,0,62.6,7.43,0.2,2.5,0.789,High Polio & High Diphtheria,12.6
164,2011,Developing,75.0,162.0,0,9.34,0.0,0,62.0,7.63,0.1,2.5,0.7879999999999999,High Polio & High Diphtheria,12.6
165,2010,Developing,75.0,161.0,0,9.19,0.0,0,61.3,7.44,0.2,2.5,0.7879999999999999,High Polio & High Diphtheria,12.6
166,2009,Developing,74.6,168.0,0,9.29,0.0,0,6.7,7.43,0.1,2.5,0.7909999999999999,High Polio & High Diphtheria,12.6
167,2008,Developing,74.5,167.0,0,10.15,0.0,0,6.1,7.3,0.1,2.5,0.7909999999999999,High Polio & High Diphtheria,12.6
168,2007,Developing,74.4,167.0,0,10.75,0.0,0,59.4,7.8,0.1,2.5,0.79,High Polio & High Diphtheria,12.5
169,2006,Developing,74.2,171.0,0,11.07,0.0,0,58.7,6.93,0.1,2.5,0.7879999999999999,High Polio & High Diphtheria,12.4
170,2005,Developing,74.1,172.0,0,10.49,0.0,0,58.1,5.95,0.1,2.6,0.7859999999999999,High Polio & High Diphtheria,12.4
171,2004,Developing,73.8,174.0,0,10.1,0.0,0,57.4,6.2,0.1,2.6,0.784,High Polio & High Diphtheria,12.3
172,2003,Developing,73.2,189.0,0,10.68,0.0,0,56.7,5.62,0.1,2.6,0.7829999999999999,High Polio & High Diphtheria,12.2
173,2002,Developing,73.1,19.0,0,10.85,0.0,0,56.0,5.26,0.1,2.6,0.7809999999999999,High Polio & High Diphtheria,12.1
174,2001,Developing,72.9,189.0,0,11.64,0.0,0,55.2,5.15,0.2,2.7,0.779,High Polio & High Diphtheria,12.1
175,2000,Developing,72.6,192.0,0,12.15,0.0,0,54.4,5.21,0.1,2.7,0.0,High Polio & High Diphtheria,12.0
177,2014,Developing,76.8,7.0,0,1.57,367.2556742,46,62.9,4.98,0.1,6.1,0.82,High Polio & High Diphtheria,14.5
178,2013,Developing,76.7,7.0,0,1.65,3.968695982,0,62.2,4.69,0.1,6.1,0.815,High Polio & High Diphtheria,14.5
179,2012,Developing,76.5,71.0,0,1.7,2211.2157780000002,0,61.5,4.37,0.1,6.1,0.812,High Polio & High Diphtheria,14.5
180,2011,Developing,76.1,76.0,0,1.66,197.77346809999997,0,6.8,3.4,0.1,6.1,0.812,High Polio & High Diphtheria,14.4
181,2010,Developing,76.1,73.0,0,1.93,266.7696122,0,6.1,3.64,0.1,6.0,0.81,High Polio & High Diphtheria,14.4
182,2009,Developing,76.0,74.0,0,1.95,332.9347646,3,59.3,3.79,0.1,6.0,0.8140000000000001,High Polio & High Diphtheria,14.4
183,2008,Developing,75.8,76.0,0,2.0,231.5478912,2,58.5,3.17,0.1,6.0,0.815,High Polio & High Diphtheria,14.4
184,2007,Developing,75.6,77.0,0,2.0,278.3602806,7,57.6,3.8,0.1,6.1,0.813,High Polio & High Diphtheria,14.4
185,2006,Developing,75.5,79.0,0,2.1,170.7374027,3,56.8,3.8,0.1,6.1,0.81,High Polio & High Diphtheria,14.2
186,2005,Developing,75.3,81.0,0,2.05,1553.468944,4,56.1,3.16,0.1,6.1,0.8059999999999999,High Polio & High Diphtheria,14.0
187,2004,Developing,75.2,83.0,0,2.16,1380.228095,11,55.6,3.37,0.1,6.1,0.8029999999999999,High Polio & High Diphtheria,13.9
188,2003,Developing,75.0,85.0,0,2.16,1214.558167,12,55.2,3.74,0.1,6.1,0.7979999999999999,High Polio & High Diphtheria,13.7
189,2002,Developing,74.9,87.0,0,1.99,106.43033359999998,8,55.0,3.89,0.1,6.2,0.7959999999999999,High Polio & High Diphtheria,13.5
190,2001,Developing,74.7,9.0,0,1.95,1150.418063,5,54.8,3.8,0.1,6.2,0.794,High Polio & High Diphtheria,13.3
191,2000,Developing,74.5,92.0,0,2.15,167.7270642,6,54.5,3.51,0.1,6.2,0.7859999999999999,High Polio & High Diphtheria,13.2
193,2014,Developing,71.4,132.0,98,0.01,10.44640334,289,17.7,2.82,0.1,18.1,0.57,High Polio & High Diphtheria,10.0
194,2013,Developing,71.0,135.0,104,0.01,52.82986467,237,17.0,2.88,0.1,18.3,0.565,High Polio & High Diphtheria,10.0
195,2012,Developing,77.0,137.0,111,0.01,59.2589257,1986,16.4,3.8,0.1,18.5,0.557,High Polio & High Diphtheria,9.9
196,2011,Developing,73.0,14.0,118,0.01,62.34988484,5625,15.8,3.16,0.1,18.7,0.545,High Polio & High Diphtheria,9.4
197,2010,Developing,69.9,142.0,126,0.01,62.65945432,788,15.2,3.6,0.1,18.9,0.535,High Polio & High Diphtheria,8.9
198,2009,Developing,69.5,144.0,135,0.01,53.26400378,718,14.6,2.91,0.1,19.1,0.523,High Polio & High Diphtheria,8.4
199,2008,Developing,69.1,147.0,144,0.01,42.48865034,2660,14.0,2.85,0.1,19.3,0.52,High Polio & High Diphtheria,8.6
200,2007,Developing,68.6,151.0,154,0.01,46.36536703,2924,13.5,2.8,0.1,19.5,0.513,High Polio & High Diphtheria,8.6
201,2006,Developing,68.2,152.0,164,0.01,42.3304549,6192,13.0,2.8,0.1,19.7,0.506,High Polio & High Diphtheria,8.4
202,2005,Developing,67.8,155.0,174,0.01,38.05462002,25934,12.5,2.68,0.1,19.9,0.499,High Polio & High Diphtheria,8.2
203,2004,Developing,67.3,158.0,185,0.01,4.11469667,9743,12.0,2.62,0.1,2.1,0.491,High Polio & High Diphtheria,8.1
204,2003,Developing,66.8,161.0,196,0.01,35.48458957,4067,11.6,2.51,0.1,2.3,0.484,Low Polio & High Diphtheria,7.9
205,2002,Developing,66.3,164.0,207,0.01,0.397228764,3484,11.2,2.59,0.1,2.5,0.47600000000000003,High Polio & High Diphtheria,7.7
206,2001,Developing,65.8,168.0,219,0.01,3.395069781,4414,1.8,2.47,0.1,2.7,0.46799999999999997,High Polio & High Diphtheria,7.5
